tournament_code,cut_before,date,is_pro,name,site,type,format
ptla9899,8.0,1999-02-26,True,Pro Tour Los Angeles 1999,https://web.archive.org/web/19990427221821/http://www.wizards.com:80/ProTour/LA_98_Cybercast.html,pt,UGS rochester
gpsd99,8.0,1999-11-20,False,Grand Prix San Diego 1999,https://web.archive.org/web/20001209123000/http://www.thedojo.com:80/gpsd99_index.shtml,gp,MMQ limited
gpsea00,8.0,2000-01-15,False,Grand Prix Seattle 2000,https://web.archive.org/web/20010107031900/http://www.thedojo.com:80/grandprix/seattle00.shtml,gp,extended
ptla9900,8.0,2000-02-04,True,Pro Tour Los Angeles 2000,http://web.archive.org/web/20130511052628/http://www.wizards.com/sideboard/article.asp?x=PTLA9900/welcome,pt,MMQ draft
ptny9900,8.0,2000-04-14,True,Pro Tour New York 2000,https://web.archive.org/web/20000510230426/http://www.wizards.com/sideboard/event.asp?event=PTNY00,pt,Masques block
natus00,,2000-06-09,False,2000 United States National Championship,http://web.archive.org/web/20140204000732/http://www.wizards.com/sideboard/article.asp?x=usnat00/welcome,national,mixed
worlds2000,,2000-08-02,True,2000 World Championship,http://web.archive.org/web/20131212232156/http://www.wizards.com/sideboard/worlds2000/,pt,mixed
ptny00-mas,,2000-09-28,False,Pro Tour New York 2000 Masters,http://web.archive.org/web/20130520133132/http://www.wizards.com/sideboard/article.asp?x=mastersny00/welcome,masters,extended
gpdal00,8.0,2000-10-28,False,Grand Prix Dallas 2000,http://web.archive.org/web/20130511050013/http://www.wizards.com/sideboard/event.asp?event=GPDAL00,gp,INV limited
ptchi00-mas,,2000-11-30,False,Pro Tour Chicago 2000 Masters,http://web.archive.org/web/20130511041930/http://www.wizards.com/sideboard/event.asp?event=MASTERSCHI00,masters,INV draft
ptchi00,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
gpneo01,8.0,2001-01-06,False,Grand Prix New Orleans 2001,http://web.archive.org/web/20130511075807/http://www.wizards.com/sideboard/event.asp?event=GPNOR01,gp,INV limited
ptla01,8.0,2001-02-02,True,Pro Tour Los Angeles 2001,http://web.archive.org/web/20130518204903/http://www.wizards.com/sideboard/event.asp?event=ptla01,pt,INV rochester
pttok01,8.0,2001-03-16,True,Pro Tour Tokyo 2001,http://web.archive.org/web/20130511025516/http://www.wizards.com/sideboard/event.asp?event=PTTOK01,pt,Invasion block
ptbar01-mas,,2001-05-03,False,Pro Tour Barcelona 2001 Masters,http://web.archive.org/web/20130511061848/https://www.wizards.com/sideboard/event.asp?event=MASTERSBAR01,masters,Invasion block
ptbar01,8.0,2001-05-04,True,Pro Tour Barcelona 2001,http://web.archive.org/web/20130511053239/https://www.wizards.com/sideboard/event.asp?event=PTBAR01,pt,PLS draft
natus01,,2001-06-02,False,2001 United States National Championship,http://web.archive.org/web/20130511040735/http://www.wizards.com/sideboard/event.asp?event=USNAT01,national,mixed
wc01,,2001-08-08,True,2001 World Championship,http://web.archive.org/web/20170412233350/http://magic.wizards.com/en/events/coverage/wc01,pt,mixed
gpden01,8.0,2001-08-18,False,Grand Prix Denver 2001,http://web.archive.org/web/20130511045405/http://www.wizards.com/sideboard/event.asp?event=GPDEN01,gp,Invasion block
gpmon01,8.0,2001-10-13,False,Grand Prix Montreal 2001,http://web.archive.org/web/20130511061831/http://www.wizards.com/sideboard/event.asp?event=GPMON01,gp,ODY limited
ptnor01-mas,,2001-11-01,False,Pro Tour New Orleans 2001 Masters,http://web.archive.org/web/20130511073804/http://www.wizards.com/sideboard/event.asp?event=MASTERSNOR01,masters,ODY draft
ptnor01,8.0,2001-11-02,True,Pro Tour New Orleans 2001,http://web.archive.org/web/20130511061827/https://www.wizards.com/sideboard/event.asp?event=PTNOR01,pt,extended
gpatl01,8.0,2001-11-17,False,Grand Prix Atlanta 2001,http://web.archive.org/web/20170412232728/http://magic.wizards.com/en/events/coverage/gpatl01,gp,ODY limited
gplas01,8.0,2001-12-08,False,Grand Prix Las Vegas 2001,http://web.archive.org/web/20130511072325/https://www.wizards.com/sideboard/event.asp?event=GPLV01,gp,extended
ptsd02,8.0,2002-01-10,True,Pro Tour San Diego 2002,http://web.archive.org/web/20130511051338/https://www.wizards.com/sideboard/event.asp?event=PTSD02,pt,ODY rochester
gptam02,8.0,2002-02-23,False,Grand Prix Tampa Bay 2002,http://web.archive.org/web/20170412232251/http://magic.wizards.com/en/events/coverage/gptam02,gp,TOR limited
ptosa02,8.0,2002-03-15,True,Pro Tour Osaka 2002,http://web.archive.org/web/20170412231143/http://magic.wizards.com/en/events/coverage/ptosa02,pt,Odyssey block
ptnic02,8.0,2002-05-03,True,Pro Tour Nice 2002,http://web.archive.org/web/20170412231041/http://magic.wizards.com/en/events/coverage/ptnic02,pt,TOR draft
gpmil02,9.0,2002-05-11,False,Grand Prix Milwaukee 2002,http://web.archive.org/web/20170412231815/http://magic.wizards.com/en/events/coverage/gpmil02,gp,TOR standard
natus02,,2002-05-31,False,2002 United States National Championship,http://web.archive.org/web/20130511050336/http://www.wizards.com/Magic/Magazine/Article.aspx?x=sideboard/events/usnat02,national,mixed
gpla02,9.0,2002-11-23,False,Grand Prix Los Angeles 2002,http://web.archive.org/web/20170412225915/http://magic.wizards.com/en/events/coverage/gpla02,gp,ONS limited
gphou16,10.0,2016-02-27,False,Grand Prix Houston 2016,http://web.archive.org/web/20170212191301/http://magic.wizards.com/en/events/coverage/gphou16,gp,OGW standard
